,timestamp,open,high,low,close,volume
0,2023-11-26 21:05:00,37481.71,37481.72,37459.82,37481.72,28.45229
1,2023-11-26 21:06:00,37481.71,37495.6,37481.71,37495.59,19.26626
2,2023-11-26 21:07:00,37495.6,37505.27,37492.5,37505.27,13.30115
3,2023-11-26 21:08:00,37505.26,37505.27,37487.72,37493.58,16.97992
4,2023-11-26 21:09:00,37493.58,37496.43,37492.35,37496.42,7.68474
5,2023-11-26 21:10:00,37496.42,37500.14,37496.42,37500.14,6.34261
6,2023-11-26 21:11:00,37500.13,37500.14,37495.5,37500.09,8.42099
7,2023-11-26 21:12:00,37500.08,37500.12,37496.45,37496.45,6.22178
8,2023-11-26 21:13:00,37496.46,37496.46,37485.61,37485.61,7.55944
9,2023-11-26 21:14:00,37485.62,37485.62,37481.24,37481.25,7.83891
10,2023-11-26 21:15:00,37481.25,37481.25,37450.0,37450.01,14.94789
11,2023-11-26 21:16:00,37450.0,37450.01,37432.45,37432.46,9.80878
12,2023-11-26 21:17:00,37432.45,37432.46,37406.72,37418.96,33.9954
13,2023-11-26 21:18:00,37418.97,37418.97,37388.0,37400.75,61.18689
14,2023-11-26 21:19:00,37400.75,37409.27,37396.58,37396.58,36.79637
15,2023-11-26 21:20:00,37396.58,37396.62,37356.96,37396.62,62.37703
16,2023-11-26 21:21:00,37396.62,37407.51,37374.82,37388.41,44.21566
17,2023-11-26 21:22:00,37388.4,37405.99,37388.4,37400.88,38.48763
18,2023-11-26 21:23:00,37400.87,37420.0,37397.99,37420.0,24.47605
19,2023-11-26 21:24:00,37419.99,37430.0,37411.1,37412.95,28.43921
20,2023-11-26 21:25:00,37412.94,37448.6,37408.0,37427.64,65.50277
21,2023-11-26 21:26:00,37427.64,37443.1,37417.47,37433.47,54.66157
22,2023-11-26 21:27:00,37433.47,37435.56,37411.1,37411.1,39.18325
23,2023-11-26 21:28:00,37411.11,37411.11,37372.0,37382.64,44.54876
24,2023-11-26 21:29:00,37382.63,37408.0,37363.07,37374.21,58.35105
25,2023-11-26 21:30:00,37374.2,37389.99,37358.2,37389.99,60.6573
26,2023-11-26 21:31:00,37389.98,37405.77,37381.61,37400.9,36.43515
27,2023-11-26 21:32:00,37400.9,37401.1,37382.49,37398.67,37.12516
28,2023-11-26 21:33:00,37398.67,37398.68,37360.0,37366.94,27.3007
29,2023-11-26 21:34:00,37366.94,37368.06,37287.0,37361.09,241.18049
30,2023-11-26 21:35:00,37361.1,37389.56,37351.1,37377.88,48.1203
31,2023-11-26 21:36:00,37377.88,37396.0,37371.1,37396.0,21.62524
32,2023-11-26 21:37:00,37395.99,37411.47,37395.99,37406.5,24.10699
33,2023-11-26 21:38:00,37406.49,37419.35,37402.88,37419.34,17.98934
34,2023-11-26 21:39:00,37419.34,37436.27,37419.34,37436.26,49.48505
35,2023-11-26 21:40:00,37436.27,37448.0,37436.26,37448.0,15.26866
36,2023-11-26 21:41:00,37447.99,37460.0,37446.56,37452.0,22.29624
37,2023-11-26 21:42:00,37452.01,37452.01,37425.77,37441.56,25.2547
38,2023-11-26 21:43:00,37441.56,37446.93,37425.57,37434.5,27.92544
39,2023-11-26 21:44:00,37434.49,37436.04,37431.22,37431.22,9.9646
40,2023-11-26 21:45:00,37431.23,37436.04,37416.18,37436.04,19.59706
41,2023-11-26 21:46:00,37436.03,37446.93,37433.55,37434.48,15.57628
42,2023-11-26 21:47:00,37434.48,37436.14,37410.54,37410.54,21.40642
43,2023-11-26 21:48:00,37410.54,37410.55,37397.81,37402.42,40.34592
44,2023-11-26 21:49:00,37402.43,37402.43,37382.16,37383.99,18.88622
45,2023-11-26 21:50:00,37383.99,37389.29,37371.91,37371.91,23.00696
